100,4950,4.58E-5
200,19900,1.489E-4
300,44850,3.055E-4
400,79800,8.558E-4
500,124750,4.978E-4
600,179700,6.468E-4
700,244650,5.949E-4
800,319600,8.105E-4
900,404550,9.952E-4
1000,499500,0.0011937
1100,604450,0.0013142
1200,719400,0.001566
1300,844350,0.0017949
1400,979300,0.0022631
1500,1124250,0.0024651
1600,1279200,0.0026541
1700,1444150,0.0032119
1800,1619100,0.0036427
1900,1804050,0.0040915
2000,1999000,0.0045398
2100,2203950,0.0047875
2200,2418900,0.0059494
2300,2643850,0.0057042
2400,2878800,0.0066987
2500,3123750,0.0066011
2600,3378700,0.0066951
2700,3643650,0.0078556
2800,3918600,0.0082186
2900,4203550,0.008623
3000,4498500,0.0105276
3100,4803450,0.0099059
3200,5118400,0.0103209
3300,5443350,0.0117128
3400,5778300,0.0130663
3500,6123250,0.012145
